,name,link,min_salary,max_salary,currency,employer,site_name
317,Переводчик с русского языка на английский,https://hh.ru/vacancy/46632126?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,Яндекс,hh.ru
318,Переводчик с русского языка на английский,https://hh.ru/vacancy/46632354?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,Яндекс,hh.ru
319,Переводчик с русского языка на английский,https://hh.ru/vacancy/46632324?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,Яндекс,hh.ru
320,Переводчик с испанского языка,https://hh.ru/vacancy/50654443?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,400,400,USD,SIMARD,hh.ru
321,Переводчик с английского языка,https://hh.ru/vacancy/50572789?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,ФИЛИАЛ ООО КИТАЙСКАЯ НАЦИОНАЛЬНАЯ ХИМИКО-ИНЖЕНЕРНАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ №7,hh.ru
322,Переводчик литовского языка,https://hh.ru/vacancy/50714593?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,ООО Фора Транслейшнз,hh.ru
323,Стажер - Копирайтер / Переводчик / Лингвист,https://hh.ru/vacancy/50626869?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,30000,30000,руб.,NewGen Vision,hh.ru
324,Переводчик с китайского языка,https://hh.ru/vacancy/50530488?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,20000,20000,руб.,ООО Ларионов Групп,hh.ru
325,Переводчик с русского языка на немецкий,https://hh.ru/vacancy/46627024?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,Яндекс,hh.ru
326,Переводчик английского и немецкого языка,https://hh.ru/vacancy/49041025?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,ЭГГЕР ДРЕВПРОДУКТ,hh.ru
327,Переводчик с русского языка на немецкий,https://hh.ru/vacancy/46627052?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,Яндекс,hh.ru
